File,PumpName,MFGNo,MotorLotNo,Maker,Contruction,Side,ElectricType,PowerValue,DynamicViscosity,PumpValue,V_Value,HzValue,MinValue,SerialNo,FlangePHeadMaterial,ValveMaterial,VGuideMaterial,GasketConfirmation,VMaterial,ORingMaterial,PullMotor,PushMotor,HoseType,ORingP20Material,Vit,Oil,UserGuide,AirMachine,SetVolt,Encapsulation,RealHz,RealMPa,ElectricCurrent,TestDeviceNo,TestDate,Tester,TestResult,CheckStepInfo_1,CheckStepInfo_2,CheckStepInfo_3,CheckStepInfo_4,CheckStepInfo_5,CheckStepInfo_6,CheckStepInfo_7,CheckStepInfo_8,CheckStepInfo_9,CheckStepInfo_10,CheckStepInfo_11,CheckStepInfo_12,CheckStepInfo_13,CheckStepInfo_14,CheckStepInfo_15,CheckStepInfo_16,CheckStepInfo_17,CheckStepInfo_18,CheckStepInfo_19,CheckStepInfo_20
LK-11S6-02_page0.jpeg,LK-11S6-02,052204700,22D1118,1,1,2,2,0.20,4,B,440,60,1710,D203746,3,1,5,0,3,-1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True
LK-11VC-02_page0.jpeg,LK-11VC-02,052204694,22D1118,1,1,2,2,0.20,4,B,200,50,1410,C203635,0,0,1,0,0,0,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-21VH-02_page0.jpeg,LK-21VH-02,052202983,22D215,1,1,2,2,0.20,4,B,200,50,1410,B203634,0,1,2,0,0,1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-21VS-02_page0.jpeg,LK-21VS-02,052200699,22D215,1,1,2,2,0.20,4,B,200,50,1410,B203634,0,1,4,0,0,1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-22VC-02_page0.jpeg,LK-22VC-02,052208148,22D225,1,1,2,2,0.20,4,B,200,50,1410,B203633,0,0,1,0,0,0,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-31VC-02_page0.jpeg,LK-31VC-02,052202985,22D3120,1,1,2,2,0.20,4,B,200,50,1410,C203635,0,0,1,0,0,0,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-31VCU-02_page0.jpeg,LK-31VCU-02,052200695,22D3112,1,1,0,0,0.2,4,B,380,50,1400,C203743,0,0,1,0,0,0,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-31VH-02_page0.jpeg,LK-31VH-02,052202987,22D315,1,1,2,2,0.20,4,B,200,50,1410,C203635,0,1,2,0,0,1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-31VS-02E_page0.jpeg,LK-31VS-02E,052208152,22B3118,1,1,0,0,0.2,4,B,400,50,1410,D203746,0,1,4,0,0,1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-32S6-02S_page0.jpeg,LK-32S6-02S,052208153,22E3259,1,1,2,2,0.2,4,B,200,60,1700,C203635,3,1,4,0,2,-1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True
LK-32VCH-02_page0.jpeg,LK-32VCH-02,052208149,22D3221,1,1,2,2,0.20,4,B,200,50,1410,B203633,0,0,1,0,0,0,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True
LK-32VHH-02_page0.jpeg,LK-32VHH-02,052208145,22E329,1,1,2,2,0.2,4,B,200,60,1700,B203633,0,1,2,0,0,1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True
LK-32VHU-02_page0.jpeg,LK-32VHU-02,052202981,22D325,1,1,0,0,0.2,4,B,220,60,1710,C203635,0,1,2,0,0,1,,,,,,,,,,,,,,1,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True
LK-47VC-02F_page0.jpeg,LK-47VC-02F,052208171,22D425,1,1,0,0,0.2,4,B,440,60,1710,E203747,0,0,0,0,0,0,,,,,,,,,,,,,,0,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True
LK-47VHH-02_page0.jpeg,LK-47VHH-02,052208597,22D4222,1,1,0,0,0.20,4,B,200,50,1410,B203633,0,1,0,0,0,1,,,,,,,,,,,,,,0,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True
LK-47VSU-02_page0.jpeg,LK-47VSU-02,052208181,22D4222,1,1,2,2,0.20,4,B,200,50,1410,B203633,0,1,4,0,0,1,,,,,,,,,,,,,,0,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True
LK-55S6-02_page0.jpeg,LK-55S6-02,052204740,22D5120,1,1,2,2,0.20,4,B,200,50,1410,C203635,3,1,5,0,3,-1,,,,,,,,,,,,,,2,True,True,1,True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True
LK-55VS-02_page0.jpeg,LK-55VS-02,052208198,22D5112,1,1,2,0,0.20,4,B,400,50,1410,E203747,0,1,4,0,0,1,,,,,,,,,,,,,,2,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True
LK-57TC-02_page0.jpeg,LK-57TC-02,052208200,22E529,1,1,0,0,0.20,4,B,200,50,1410,B203633,1,0,3,0,1,0,,,,,,,,,,,,,,2,True,True,,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True
LK-57VC-02_page0.jpeg,LK-57VC-02,052204750,22E529,1,1,0,0,0.2,4,B,380,60,1680,D203746,0,0,0,0,0,0,,,,,,,,,,,,,,2,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True
LK-57VH-02_page0.jpeg,LK-57VH-02,052208628,22E529,1,1,0,0,0.20,4,B,200,50,1410,B203633,0,1,0,0,0,1,,,,,,,,,,,,,,2,True,True,1,True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True
